# This is a comment. Comments start with #

SECTION_HORIZON
# All instances start at 06:00 on the first day and finish at 06:00 on the last day.
# The planning horizon length in days:
14

SECTION_TASKS
# The number of different tasks
5

SECTION_STAFF
# ID, MinTotalMinutes, MaxTotalMinutes
1,4080,4800
2,4320,4800
3,1560,4800
4,2280,2400
5,2760,4800
6,4440,4800
7,1560,2400
8,4320,4800
9,4200,4800
10,2160,4800
11,1560,2400
12,1800,4800
13,3000,4800
14,4560,4800
15,4320,4800
16,4080,4800
17,4560,4800
18,1560,4800
19,4320,4800
20,2160,2400
21,4440,4800
22,4440,4800
23,4440,4800
24,2760,4800
25,4080,4800
26,1920,2400
27,1680,2400
28,4320,4800
29,4200,4800
30,1680,2400
31,4080,4800
32,2640,4800
33,4200,4800
34,4440,4800
35,4200,4800
36,1800,2400
37,1440,2400
38,4440,4800
39,2280,2400
40,1920,4800
41,2040,2400
42,4080,4800
43,2160,2400
44,4080,4800
45,1680,2400
46,3960,4800
47,4200,4800
48,1440,2400
49,4080,4800
50,1560,2400
51,4200,4800
52,4200,4800
53,4200,4800
54,3360,4800
55,2880,4800
56,1800,4800
57,4320,4800
58,2520,4800
59,4440,4800
60,1920,2400
61,2640,4800
62,1440,4800
63,4440,4800
64,4200,4800
65,4200,4800
66,2040,2400
67,4440,4800
68,1680,2400
69,4200,4800
70,1920,2400
71,4080,4800
72,4200,4800
73,4440,4800
74,4320,4800
75,1800,2400
76,1680,2400
77,4200,4800
78,4080,4800
79,4200,4800
80,4440,4800
81,3600,4800
82,4320,4800
83,2280,4800
84,3600,4800
85,2040,2400
86,1800,4800
87,4200,4800
88,2280,2400
89,4440,4800
90,1680,2400
91,4560,4800
92,2280,2400
93,1680,2400
94,4080,4800
95,4440,4800
96,2400,4800
97,4440,4800
98,1560,2400
99,2040,2400
100,4080,4800
101,3600,4800
102,4320,4800
103,4320,4800
104,4200,4800
105,1800,2400
106,3600,4800
107,2280,2400
108,4560,4800
109,2760,4800
110,3360,4800
111,4440,4800
112,4080,4800
113,2040,2400
114,2880,4800
115,1920,2400
116,4440,4800
117,4320,4800
118,4320,4800
119,4440,4800
120,4200,4800
121,4560,4800
122,4080,4800
123,1920,4800
124,2280,4800
125,4440,4800
126,4080,4800
127,2160,2400
128,4200,4800
129,4440,4800
130,4560,4800
131,2040,2400
132,1560,2400
133,1560,4800
134,4560,4800
135,2280,2400
136,1800,4800
137,4440,4800
138,4080,4800
139,4200,4800
140,4320,4800
141,3720,4800
142,4560,4800
143,4200,4800
144,4320,4800
145,1560,2400
146,4200,4800
147,1920,2400
148,2040,2400
149,4200,4800
150,4560,4800

SECTION_COVER
# Day, Time, TaskID, Min, Max
1,06:00-06:15,1,3,3
1,06:15-06:30,1,2,2
1,06:30-06:45,1,4,4
1,06:45-07:00,1,4,4
1,07:00-07:15,1,5,5
1,07:15-07:30,1,3,3
1,07:30-07:45,1,5,5
1,07:45-08:00,1,4,4
1,08:00-08:15,1,4,4
1,08:15-08:30,1,4,4
1,08:30-08:45,1,3,3
1,08:45-09:00,1,3,3
1,09:00-09:15,1,3,3
1,09:15-09:30,1,4,4
1,09:30-09:45,1,4,4
1,09:45-10:00,1,3,3
1,10:00-10:15,1,4,4
1,10:15-10:30,1,4,4
1,10:30-10:45,1,4,4
1,10:45-11:00,1,3,3
1,11:00-11:15,1,4,4
1,11:15-11:30,1,4,4
1,11:30-11:45,1,4,4
1,11:45-12:00,1,4,4
1,12:00-12:15,1,4,4
1,12:15-12:30,1,3,3
1,12:30-12:45,1,3,3
1,12:45-13:00,1,3,3
1,13:00-13:15,1,4,4
1,13:15-13:30,1,4,4
1,13:30-13:45,1,5,5
1,13:45-14:00,1,4,4
1,14:00-14:15,1,4,4
1,14:15-14:30,1,4,4
1,14:30-14:45,1,4,4
1,14:45-15:00,1,3,3
1,15:00-15:15,1,4,4
1,15:15-15:30,1,4,4
1,15:30-15:45,1,4,4
1,15:45-16:00,1,4,4
1,16:00-16:15,1,3,3
1,16:15-16:30,1,4,4
1,16:30-16:45,1,3,3
1,16:45-17:00,1,3,3
1,17:00-17:15,1,4,4
1,17:15-17:30,1,4,4
1,17:30-17:45,1,4,4
1,17:45-18:00,1,4,4
1,18:00-18:15,1,5,5
1,18:15-18:30,1,4,4
1,18:30-18:45,1,5,5
1,18:45-19:00,1,4,4
1,19:00-19:15,1,4,4
1,19:15-19:30,1,4,4
1,19:30-19:45,1,3,3
1,19:45-20:00,1,5,5
1,20:00-20:15,1,4,4
1,20:15-20:30,1,4,4
1,20:30-20:45,1,3,3
1,20:45-21:00,1,4,4
1,21:00-21:15,1,3,3
1,21:15-21:30,1,5,5
1,21:30-21:45,1,5,5
1,21:45-22:00,1,4,4
1,22:00-22:15,1,5,5
1,22:15-22:30,1,4,4
1,22:30-22:45,1,4,4
1,22:45-23:00,1,4,4
1,23:00-23:15,1,3,3
1,23:15-23:30,1,3,3
1,23:30-23:45,1,4,4
1,23:45-00:00,1,4,4
2,00:00-00:15,1,4,4
2,00:15-00:30,1,3,3
2,00:30-00:45,1,3,3
2,00:45-01:00,1,3,3
2,01:00-01:15,1,4,4
2,01:15-01:30,1,4,4
2,01:30-01:45,1,4,4
2,01:45-02:00,1,5,5
2,02:00-02:15,1,5,5
2,02:15-02:30,1,5,5
2,02:30-02:45,1,4,4
2,02:45-03:00,1,3,3
2,03:00-03:15,1,4,4
2,03:15-03:30,1,4,4
2,03:30-03:45,1,5,5
2,03:45-04:00,1,3,3
2,04:00-04:15,1,4,4
2,04:15-04:30,1,4,4
2,04:30-04:45,1,5,5
2,04:45-05:00,1,5,5
2,05:00-05:15,1,4,4
2,05:15-05:30,1,4,4
2,05:30-05:45,1,4,4
2,05:45-06:00,1,4,4
2,06:00-06:15,1,5,5
2,06:15-06:30,1,5,5
2,06:30-06:45,1,4,4
2,06:45-07:00,1,5,5
2,07:00-07:15,1,5,5
2,07:15-07:30,1,4,4
2,07:30-07:45,1,3,3
2,07:45-08:00,1,4,4
2,08:00-08:15,1,4,4
2,08:15-08:30,1,4,4
2,08:30-08:45,1,4,4
2,08:45-09:00,1,4,4
2,09:00-09:15,1,3,3
2,09:15-09:30,1,3,3
2,09:30-09:45,1,4,4
2,09:45-10:00,1,5,5
2,10:00-10:15,1,4,4
2,10:15-10:30,1,3,3
2,10:30-10:45,1,5,5
2,10:45-11:00,1,4,4
2,11:00-11:15,1,4,4
2,11:15-11:30,1,4,4
2,11:30-11:45,1,5,5
2,11:45-12:00,1,4,4
2,12:00-12:15,1,4,4
2,12:15-12:30,1,4,4
2,12:30-12:45,1,4,4
2,12:45-13:00,1,4,4
2,13:00-13:15,1,4,4
2,13:15-13:30,1,5,5
2,13:30-13:45,1,3,3
2,13:45-14:00,1,4,4
2,14:00-14:15,1,5,5
2,14:15-14:30,1,5,5
2,14:30-14:45,1,3,3
2,14:45-15:00,1,4,4
2,15:00-15:15,1,4,4
2,15:15-15:30,1,4,4
2,15:30-15:45,1,3,3
2,15:45-16:00,1,3,3
2,16:00-16:15,1,4,4
2,16:15-16:30,1,5,5
2,16:30-16:45,1,4,4
2,16:45-17:00,1,5,5
2,17:00-17:15,1,3,3
2,17:15-17:30,1,4,4
2,17:30-17:45,1,5,5
2,17:45-18:00,1,4,4
2,18:00-18:15,1,4,4
2,18:15-18:30,1,5,5
2,18:30-18:45,1,4,4
2,18:45-19:00,1,3,3
2,19:00-19:15,1,4,4
2,19:15-19:30,1,3,3
2,19:30-19:45,1,4,4
2,19:45-20:00,1,2,2
2,20:00-20:15,1,4,4
2,20:15-20:30,1,4,4
2,20:30-20:45,1,3,3
2,20:45-21:00,1,4,4
2,21:00-21:15,1,4,4
2,21:15-21:30,1,4,4
2,21:30-21:45,1,4,4
2,21:45-22:00,1,3,3
2,22:00-22:15,1,4,4
2,22:15-22:30,1,4,4
2,22:30-22:45,1,5,5
2,22:45-23:00,1,4,4
2,23:00-23:15,1,5,5
2,23:15-23:30,1,5,5
2,23:30-23:45,1,4,4
2,23:45-00:00,1,3,3
3,00:00-00:15,1,3,3
3,00:15-00:30,1,5,5
3,00:30-00:45,1,4,4
3,00:45-01:00,1,4,4
3,01:00-01:15,1,4,4
3,01:15-01:30,1,5,5
3,01:30-01:45,1,4,4
3,01:45-02:00,1,3,3
3,02:00-02:15,1,4,4
3,02:15-02:30,1,3,3
3,02:30-02:45,1,4,4
3,02:45-03:00,1,4,4
3,03:00-03:15,1,4,4
3,03:15-03:30,1,5,5
3,03:30-03:45,1,3,3
3,03:45-04:00,1,4,4
3,04:00-04:15,1,4,4
3,04:15-04:30,1,2,2
3,04:30-04:45,1,3,3
3,04:45-05:00,1,3,3
3,05:00-05:15,1,2,2
3,05:15-05:30,1,3,3
3,05:30-05:45,1,3,3
3,05:45-06:00,1,4,4
3,06:00-06:15,1,4,4
3,06:15-06:30,1,3,3
3,06:30-06:45,1,4,4
3,06:45-07:00,1,3,3
3,07:00-07:15,1,2,2
3,07:15-07:30,1,4,4
3,07:30-07:45,1,4,4
3,07:45-08:00,1,4,4
3,08:00-08:15,1,4,4
3,08:15-08:30,1,4,4
3,08:30-08:45,1,5,5
3,08:45-09:00,1,3,3
3,09:00-09:15,1,4,4
3,09:15-09:30,1,4,4
3,09:30-09:45,1,4,4
3,09:45-10:00,1,3,3
3,10:00-10:15,1,4,4
3,10:15-10:30,1,3,3
3,10:30-10:45,1,5,5
3,10:45-11:00,1,4,4
3,11:00-11:15,1,4,4
3,11:15-11:30,1,5,5
3,11:30-11:45,1,5,5
3,11:45-12:00,1,4,4
3,12:00-12:15,1,4,4
3,12:15-12:30,1,5,5
3,12:30-12:45,1,4,4
3,12:45-13:00,1,5,5
3,13:00-13:15,1,4,4
3,13:15-13:30,1,5,5
3,13:30-13:45,1,3,3
3,13:45-14:00,1,4,4
3,14:00-14:15,1,4,4
3,14:15-14:30,1,5,5
3,14:30-14:45,1,4,4
3,14:45-15:00,1,4,4
3,15:00-15:15,1,4,4
3,15:15-15:30,1,5,5
3,15:30-15:45,1,3,3
3,15:45-16:00,1,5,5
3,16:00-16:15,1,5,5
3,16:15-16:30,1,5,5
3,16:30-16:45,1,5,5
3,16:45-17:00,1,3,3
3,17:00-17:15,1,3,3
3,17:15-17:30,1,5,5
3,17:30-17:45,1,4,4
3,17:45-18:00,1,4,4
3,18:00-18:15,1,4,4
3,18:15-18:30,1,5,5
3,18:30-18:45,1,4,4
3,18:45-19:00,1,3,3
3,19:00-19:15,1,4,4
3,19:15-19:30,1,3,3
3,19:30-19:45,1,3,3
3,19:45-20:00,1,3,3
3,20:00-20:15,1,3,3
3,20:15-20:30,1,4,4
3,20:30-20:45,1,3,3
3,20:45-21:00,1,3,3
3,21:00-21:15,1,3,3
3,21:15-21:30,1,4,4
3,21:30-21:45,1,5,5
3,21:45-22:00,1,4,4
3,22:00-22:15,1,4,4
3,22:15-22:30,1,4,4
3,22:30-22:45,1,4,4
3,22:45-23:00,1,5,5
3,23:00-23:15,1,3,3
3,23:15-23:30,1,4,4
3,23:30-23:45,1,3,3
3,23:45-00:00,1,4,4
4,00:00-00:15,1,5,5
4,00:15-00:30,1,5,5
4,00:30-00:45,1,4,4
4,00:45-01:00,1,4,4
4,01:00-01:15,1,5,5
4,01:15-01:30,1,5,5
4,01:30-01:45,1,4,4
4,01:45-02:00,1,3,3
4,02:00-02:15,1,5,5
4,02:15-02:30,1,5,5
